KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1057845,1058747,TS,FW(3-LIFT),25,(25-30) [20]cm FW(3-LIFT),(25-30) [20]cm Full Width (3 Lift),2,,"[76, 66, 38]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1058747,1058803,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1058803,1058853,TS,FW(3-LIFT),25,(25) [25]cm FW(3-LIFT),(25) [25]cm Full Width (3 Lift),2,,"[76, 66, 38]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1058853,1059001,TS,FW,10,10-15cm FW,10-15cm Full Width,2,,"[140, 126, 81]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1059001,1059034,TS,SSH,10,10-15cm SSH,10-15cm Site-Specific Handling,2,,"[147, 150, 76]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1059034,1059232,TS,FW,10,10-15cm FW,10-15cm Full Width,2,,"[140, 126, 81]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1059232,1059288,TS,FW,15,15-20cm FW,15-20cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1059288,1059411,TS,SSH,15,15-20cm SSH,15-20cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1059411,1060000,TS,FW,10,10-15cm FW,10-15cm Full Width,2,,"[140, 126, 81]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1060000,1062200,TS,SSH,0,0cm SSH,0cm Site-Specific Handling,2,,"[179, 178, 91]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
