KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1048114,1048300,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048300,1048454.42,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048454.42,1048484.67,PT,ARO,14.7,14.7mm ARO,14.7mm Abrasion-Resistant Overcoat TYPE 6,17,,"[199, 130, 107]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048484.67,1048692,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048692,1048752,PT,ARO,14.7,14.7mm ARO,14.7mm Abrasion-Resistant Overcoat TYPE 6,17,,"[199, 130, 107]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048752,1048776.01,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048776.01,1048781.42,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048781.42,1048905.09,PT,ARO,19,19.0mm ARO,19.0mm Abrasion-Resistant Overcoat TYPE 8,17,,"[150, 95, 83]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048905.09,1048914.31,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048914.31,1048940.33,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048940.33,1048945,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048945,1048980,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048980,1048985,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048985,1049076,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049076,1049080,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049080,1049088,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049088,1049093,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049093,1049151,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049151,1049157,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049157,1049175,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049175,1049182,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049182,1049188,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049188,1049218,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1049220,1050331,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050331,1050336,PT,LE,23.7,23.7mm LE,23.7mm Elbow TYPE 28,17,,"[74, 122, 70]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050336,1050350,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050350,1050355,PT,LE,23.7,23.7mm LE,23.7mm Elbow TYPE 28,17,,"[74, 122, 70]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050355,1050869,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050869,1050874,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050874,1051200,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1051200,1050779,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050779,1050891,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050891,1050915,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1050915,1051072,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052070,1052073,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052073,1052077,PT,LE,23.7,23.7mm LE,23.7mm Elbow TYPE 28,17,,"[74, 122, 70]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052077,1052148,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052148,1052317,PT,ARO,19,19.0mm ARO-M45,19.0mm Abrasion-Resistant Overcoat (M45) TYPE 18,17,,"[150, 95, 83]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052317,1052361,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052370,1052371,PT,FBE,21.5,21.5mm FBE,21.5mm Fusion-Bonded Epoxy TYPE 34,17,,"[77, 124, 108]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052371,1052395,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052395,1052597.42,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052597.42,1052621.42,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052621.42,1052859.75,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
