geometry,elevation,chainage
POINT (643976.2910820144 5500503.447390283),1164.007935,989188.9152
POINT (643968.0973156987 5500488.269570256),1163.109131,989206.1703
POINT (643959.5631608432 5500473.531908516),1159.18042,989223.2006
POINT (643951.0289574297 5500458.794261385),1154.231445,989240.2309
POINT (643942.4947054584 5500444.056628862),1149.131958,989257.2612
POINT (643933.9604049294 5500429.319010947),1147.720825,989274.2915
POINT (643925.4260558409 5500414.58140764),1146.460571,989291.3218
POINT (643916.9365812885 5500399.782270551),1145.429321,989308.3831
POINT (643908.4630524485 5500384.961234455),1143.960815,989325.4555
POINT (643899.9894750799 5500370.140212777),1142.259033,989342.5278
POINT (643891.515849183 5500355.319205519),1142.930054,989359.6002
POINT (643883.0421747577 5500340.498212679),1140.199341,989376.6726
POINT (643874.5684518043 5500325.67723426),1140.250366,989393.745
POINT (643866.0946803228 5500310.85627026),1139.290039,989410.8173
POINT (643857.6208603136 5500296.03532068),1139.100952,989427.8897
POINT (643849.1469917768 5500281.214385517),1138.051025,989444.9621
POINT (643840.6730747123 5500266.393464776),1134.540649,989462.0345
POINT (643832.1991091205 5500251.572558453),1135.289795,989479.1069
POINT (643823.7250950015 5500236.751666551),1136.498779,989496.1793
POINT (643815.2510323555 5500221.930789066),1138.7771,989513.2517
POINT (643806.7769211844 5500207.109926003),1141.220215,989530.3242
POINT (643797.2606395109 5500193.930948809),1139.910645,989546.61
POINT (643787.4207255343 5500181.261800692),1137.640625,989562.6515
POINT (643777.5807643724 5500168.592671511),1137.46936,989578.6931
POINT (643767.7407560252 5500155.923561267),1136.549805,989594.7346
POINT (643757.9007004909 5500143.254469957),1135.321167,989610.7762
POINT (643748.0605977738 5500130.585397584),1133.721313,989626.8178
POINT (643738.2204478716 5500117.916344146),1133.071533,989642.8594
POINT (643728.3802507829 5500105.247309647),1132.940308,989658.901
POINT (643718.5400065114 5500092.578294082),1133.119995,989674.9427
POINT (643708.3279412475 5500080.675029156),1133.22998,989690.6568
POINT (643697.5364697129 5500069.96508055),1133.930054,989705.8608
POINT (643686.7449551112 5500059.255154368),1133.500366,989721.0648
POINT (643675.9533974463 5500048.545250604),1132.401367,989736.2688
POINT (643665.1617967163 5500037.835369265),1133.996826,989751.4729
POINT (643654.3701529214 5500027.125510346),1135.932495,989766.677
POINT (643643.5784660599 5500016.415673851),1135.147827,989781.8811
POINT (643632.7867361355 5500005.705859777),1141.69751,989797.0851
POINT (643621.9949631465 5499994.996068126),1145.228638,989812.2892
POINT (643611.2031470931 5499984.286298894),1146.829102,989827.4932
POINT (643600.4112879733 5499973.576552085),1147.760254,989842.6972
POINT (643589.6193857912 5499962.866827699),1151.52124,989857.9013
POINT (643578.8274405448 5499952.157125736),1152.808228,989873.1053
POINT (643568.0354522346 5499941.447446194),1154.520874,989888.3094
POINT (643557.2434208603 5499930.737789076),1155.469971,989903.5135
POINT (643546.4513464205 5499920.028154378),1154.461182,989918.7175
POINT (643535.6592289186 5499909.318542103),1154.717529,989933.9216
POINT (643524.8670683532 5499898.608952251),1155.498657,989949.1256
