X,Y,Z,Distance (meters)
596193.154,5454455.492,62.5292244,12.75077302
596193.2023,5454455.485,62.53182602,12.79981445
596193.2506,5454455.478,62.53182602,12.84885589
596193.2989,5454455.471,62.53308105,12.89789732
596193.3471,5454455.464,62.54395676,12.94693876
596193.3954,5454455.457,62.54574585,12.99598019
596193.4437,5454455.45,62.54666519,13.04502163
596193.492,5454455.443,62.54853439,13.09406306
596193.5403,5454455.436,62.54902649,13.1431045
596193.5885,5454455.429,62.55090332,13.19214593
596193.6368,5454455.422,62.55241013,13.24118737
596193.6851,5454455.415,62.56051636,13.2902288
596193.7334,5454455.408,62.56454086,13.33927024
596193.7816,5454455.401,62.56510544,13.38831167
596193.8299,5454455.394,62.56615448,13.43735311
596193.8782,5454455.387,62.56823349,13.48639454
596193.9265,5454455.38,62.57077026,13.53543597
596193.9748,5454455.373,62.57402039,13.58447741
596194.023,5454455.366,62.58522797,13.63351884
596194.0713,5454455.359,62.58950424,13.68256028
596194.1196,5454455.353,62.5929718,13.73160171
596194.1679,5454455.346,62.59764862,13.78064315
596194.2162,5454455.339,62.60348511,13.82968458
596194.2644,5454455.332,62.60741425,13.87872602
596194.3127,5454455.325,62.6128006,13.92776745
596194.361,5454455.318,62.62580872,13.97680889
596194.4093,5454455.311,62.63219452,14.02585032
596194.4576,5454455.304,62.6394577,14.07489176
596194.5058,5454455.297,62.64891434,14.12393319
596194.5541,5454455.29,62.65800476,14.17297463
596194.6024,5454455.283,62.66847229,14.22201606
596194.6507,5454455.276,62.68216324,14.27105749
596194.699,5454455.269,62.718647,14.32009893
596194.7472,5454455.262,62.7460022,14.36914036
596194.7955,5454455.255,62.77761841,14.4181818
596194.8438,5454455.248,62.81483841,14.46722323
596194.8921,5454455.241,62.85773849,14.51626467
596194.9404,5454455.234,62.92620087,14.5653061
596194.9886,5454455.227,62.99433517,14.61434754
596195.0369,5454455.22,63.12757492,14.66338897
596195.0852,5454455.213,63.20093155,14.71243041
596195.1335,5454455.206,63.25902939,14.76147184
596195.1818,5454455.199,63.31432343,14.81051328
596195.23,5454455.192,63.35878754,14.85955471
596195.2783,5454455.185,63.40039825,14.90859615
596195.3266,5454455.178,63.43264389,14.95763758
596195.3749,5454455.171,63.46425247,15.00667902
596195.4232,5454455.164,63.48613358,15.05572045
596195.4714,5454455.157,63.50138855,15.10476188
596195.5197,5454455.15,63.51678085,15.15380332
596195.568,5454455.144,63.52956009,15.20284475
596195.6163,5454455.137,63.53987885,15.25188619
596195.6646,5454455.13,63.54987717,15.30092762
596195.7128,5454455.123,63.55608368,15.34996906
596195.7611,5454455.116,63.55989075,15.39901049
596195.8094,5454455.109,63.56232071,15.44805193
596195.8577,5454455.102,63.56513214,15.49709336
596195.906,5454455.095,63.56613541,15.5461348
596195.9542,5454455.088,63.56750488,15.59517623
596196.0025,5454455.081,63.56978989,15.64421767
596196.0508,5454455.074,63.57078934,15.6932591
596196.0991,5454455.067,63.57409286,15.74230054
596196.1474,5454455.06,63.58080673,15.79134197
596196.1956,5454455.053,63.58568573,15.8403834
596196.2439,5454455.046,63.59262466,15.88942484
596196.2922,5454455.039,63.60010529,15.93846627
596196.3405,5454455.032,63.60900116,15.98750771
596196.3888,5454455.025,63.61744308,16.03654914
596196.437,5454455.018,63.61422348,16.08559058
596196.4853,5454455.011,63.62331772,16.13463201
596196.5336,5454455.004,63.63049316,16.18367345
596196.5819,5454454.997,63.61422348,16.23271488
596196.6302,5454454.99,63.62331772,16.28175632
596196.6784,5454454.983,63.63237381,16.33079775
596196.7267,5454454.976,63.64232254,16.37983919
596196.775,5454454.969,63.65084457,16.42888062
596196.8233,5454454.962,63.66356277,16.47792206
596196.8716,5454454.955,63.66356277,16.52696349
596196.9198,5454454.948,63.66030121,16.57600493
596196.9681,5454454.942,63.67140579,16.62504636
596197.0164,5454454.935,63.68386078,16.67408779
596197.0647,5454454.928,63.69921494,16.72312923
596197.113,5454454.921,63.71142197,16.77217066
596197.1612,5454454.914,63.72383118,16.8212121
596197.2095,5454454.907,63.73390198,16.87025353
596197.2578,5454454.9,63.73052216,16.91929497
596197.3061,5454454.893,63.74120712,16.9683364
596197.3544,5454454.886,63.75040054,17.01737784
596197.4026,5454454.879,63.76228333,17.06641927
596197.4509,5454454.872,63.77257156,17.11546071
596197.4992,5454454.865,63.78429794,17.16450214
596197.5475,5454454.858,63.79218674,17.21354358
596197.5958,5454454.851,63.79011154,17.26258501
596197.644,5454454.844,63.79901886,17.31162645
596197.6923,5454454.837,63.80926895,17.36066788
596197.7406,5454454.83,63.81692123,17.40970932
596197.7889,5454454.823,63.82645798,17.45875075
596197.8372,5454454.816,63.83483505,17.50779218
596197.8854,5454454.809,63.8433342,17.55683362
596197.9337,5454454.802,63.8428154,17.60587505
596197.982,5454454.795,63.85320663,17.65491649
596198.0303,5454454.788,63.86439133,17.70395792
